% Model:              Devoir 2 COMSOL.mph
% Version:            COMSOL 6.0.0.318
% Date:               Feb 27 2024, 16:46
% Dimension:          1
% Nodes:              2000
% Expressions:        1
% Description:        Line graph
% R                       Concentration
0                         0
5.005005005005007E-4      0
0.0010010010010010014     0
0.0015015015015015021     0
0.002002002002002003      0
0.0025025025025025033     0
0.003003003003003004      0
0.0035035035035035043     0
0.004004004004004005      0
0.004504504504504505      0
0.005005005005005006      0
0.005505505505505506      0
0.006006006006006007      0
0.006506506506506507      0
0.007007007007007008      0
0.007507507507507508      0
0.008008008008008008      0
0.008508508508508508      0
0.009009009009009007      0
0.009509509509509507      0
0.010010010010010006      0
0.010510510510510506      0
0.011011011011011006      0
0.011511511511511505      0
0.012012012012012005      0
0.012512512512512505      0
0.013013013013013004      0
0.013513513513513504      0
0.014014014014014003      0
0.014514514514514503      0
0.015015015015015003      0
0.015515515515515502      0
0.016016016016016002      0
0.0165165165165165        0
0.017017017017017         0
0.0175175175175175        0
0.018018018018018         0
0.0185185185185185        0
0.019019019019019         0
0.0195195195195195        0
0.02002002002002          0
0.0205205205205205        0
0.021021021021021         0
0.021521521521521498      0
0.022022022022021998      0
0.022522522522522497      0
0.023023023023022997      0
0.023523523523523496      0
0.024024024024023996      0
0.024524524524524496      0
0.025025025025024995      0
0.025525525525525495      0
0.026026026026025995      0
0.026526526526526494      0
0.027027027027026994      0
0.027527527527527493      0
0.028028028028027993      0
0.028528528528528493      0
0.029029029029028992      0
0.029529529529529492      0
0.03003003003002999       0
0.03053053053053049       0
0.03103103103103099       0
0.03153153153153149       0
0.03203203203203198       0
0.03253253253253248       0
0.033033033033032976      0
0.03353353353353347       0
0.03403403403403397       0
0.034534534534534464      0
0.03503503503503496       0
0.035535535535535456      0
0.03603603603603595       0
0.03653653653653645       0
0.037037037037036945      0
0.03753753753753744       0
0.03803803803803794       0
0.03853853853853843       0
0.03903903903903893       0
0.039539539539539426      0
0.04004004004003992       0
